id,name,parsecs_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink
4777,Kepler-351 c,1083.91,11.1 Earths,16.229,2014,https://science.nasa.gov/exoplanet-catalog/kepler-351-c/
4778,Kepler-349 c,940.724,4.5 Earths,14.915,2014,https://science.nasa.gov/exoplanet-catalog/kepler-349-c/
4779,Kepler-347 c,1298.88,3.71 Earths,14.567,2014,https://science.nasa.gov/exoplanet-catalog/kepler-347-c/
4780,Kepler-345 c,260,2.2 Earths,14.344,2014,https://science.nasa.gov/exoplanet-catalog/kepler-345-c/
4781,Kepler-343 c,927.193,4.74 Earths,14.063,2014,https://science.nasa.gov/exoplanet-catalog/kepler-343-c/
4782,Kepler-341 e,1047.03,4.62 Earths,14.739,2014,https://science.nasa.gov/exoplanet-catalog/kepler-341-e/
4783,Kepler-336 b,768.86,1.04 Earths,13.677,2014,https://science.nasa.gov/exoplanet-catalog/kepler-336-b/
4784,Kepler-334 c,426.59,2.63 Earths,12.834,2014,https://science.nasa.gov/exoplanet-catalog/kepler-334-c/
4785,Kepler-332 d,344.19,1.76 Earths,14.243,2014,https://science.nasa.gov/exoplanet-catalog/kepler-332-d/
4786,Kepler-331 b,580.119,3.97 Earths,16.199,2014,https://science.nasa.gov/exoplanet-catalog/kepler-331-b/
4787,Kepler-32 e,323.847,4.08181 Earths,16.36,2012,https://science.nasa.gov/exoplanet-catalog/kepler-32-e/
4788,Kepler-329 b,439.719,2.54 Earths,15.886,2014,https://science.nasa.gov/exoplanet-catalog/kepler-329-b/
4789,Kepler-327 c,241.987,20.3 Earths,15.611,2014,https://science.nasa.gov/exoplanet-catalog/kepler-327-c/
4790,Kepler-325 d,823.242,8.2 Earths,15.175,2014,https://science.nasa.gov/exoplanet-catalog/kepler-325-d/
4791,Kepler-324 b,501.574,7.59655193 Jupiters,14.222,2014,https://science.nasa.gov/exoplanet-catalog/kepler-324-b/
4792,Kepler-322 b,400.48,1.01 Earths,13.687,2014,https://science.nasa.gov/exoplanet-catalog/kepler-322-b/
4793,Kepler-320 b,826.613,1.55 Earths,13.494,2014,https://science.nasa.gov/exoplanet-catalog/kepler-320-b/
4794,Kepler-318 b,489.141,19.9 Earths,13.442,2014,https://science.nasa.gov/exoplanet-catalog/kepler-318-b/
4795,Kepler-198 d,495.358,2.96 Earths,13.684,2016,https://science.nasa.gov/exoplanet-catalog/kepler-198-d/
4796,K2-32 d,157.682,6.7 Earths,12.304,2016,https://science.nasa.gov/exoplanet-catalog/k2-32-d/
4797,K2-32 c,157.682,8.1 Earths,12.304,2016,https://science.nasa.gov/exoplanet-catalog/k2-32-c/
4798,K2-32 b,157.682,15 Earths,12.304,2016,https://science.nasa.gov/exoplanet-catalog/k2-32-b/
4799,K2-31 b,110.527,1.774 Jupiters,10.802,2016,https://science.nasa.gov/exoplanet-catalog/k2-31-b/
4800,K2-28 b,62.9969,5.99 Earths,16.526,2016,https://science.nasa.gov/exoplanet-catalog/k2-28-b/
4801,K2-19 d,289.827,6.2 Earths,13.024,2016,https://science.nasa.gov/exoplanet-catalog/k2-19-d/
4802,Kepler-375 c,1238.81,7.51 Earths,15.643,2014,https://science.nasa.gov/exoplanet-catalog/kepler-375-c/
4803,Kepler-375 b,1238.81,2.7 Earths,15.643,2014,https://science.nasa.gov/exoplanet-catalog/kepler-375-b/
4804,Kepler-374 d,1265.61,2.27 Earths,14.701,2014,https://science.nasa.gov/exoplanet-catalog/kepler-374-d/
4805,Kepler-374 c,1265.61,1.37 Earths,14.701,2014,https://science.nasa.gov/exoplanet-catalog/kepler-374-c/
4806,Kepler-374 b,1265.61,1.08 Earths,14.701,2014,https://science.nasa.gov/exoplanet-catalog/kepler-374-b/
4807,Kepler-373 c,1090.45,2.07 Earths,14.596,2014,https://science.nasa.gov/exoplanet-catalog/kepler-373-c/
4808,Kepler-373 b,1090.45,2.42 Earths,14.596,2014,https://science.nasa.gov/exoplanet-catalog/kepler-373-b/
4809,Kepler-372 d,1493.95,3.5 Earths,14.928,2014,https://science.nasa.gov/exoplanet-catalog/kepler-372-d/
4810,Kepler-372 c,1493.95,5.02 Earths,14.928,2014,https://science.nasa.gov/exoplanet-catalog/kepler-372-c/
